Time of Transmission,Satellite SSP Longitude,Satellite SSP Latitude,Path Loss dB,Azimuth Degree,Elevation Degree,Distance to Satellite,Sat Altitude
"2021-04-28 18:43:07.367376,2021,4,28,18,43,7",81.44980893095247,-70.26778426946096,231.29172465725077,,-73.56072580353266,12956.196342607553,709.9490860157593
"2021-04-28 18:44:48.221376,2021,4,28,18,44,48",70.60046959252081,-75.58725216424742,231.15248181168946,,-70.39230115285729,12750.152479882148,709.9490860157593
"2021-04-28 18:53:49.463198,2021,4,28,18,53,49",-57.065855799223904,-67.57417870715611,229.91242033641754,,-53.1149149106251,11053.817875358976,709.9490860157593
"2021-04-28 18:54:43.101486,2021,4,28,18,54,43",-60.12146004663283,-64.52897380587787,229.73900323064044,,-51.38181729349804,10835.312705337934,709.9490860157593
"2021-04-28 19:00:29.841937,2021,4,28,19,0,29",-71.12696352172347,-44.188075211194274,228.34876907222477,,-40.05506218869701,9232.721629268908,709.9490860157593
"2021-04-28 19:07:56.503820,2021,4,28,19,7,56",-78.44498287056038,-17.478972702426038,225.65855211942016,,-24.899435999485814,6773.589818098797,709.9490860157593
"2021-04-28 19:26:36.269277,2021,4,28,19,26,36",-95.46684590252052,49.590687716897904,216.09709818572782,,-8.965850567800102,2252.9222141904033,709.9490860157593
"2021-04-28 19:45:54.060766,2021,4,28,19,45,54",103.0486982921473,58.457576483241425,227.7121326299567,,-35.88302477485298,8580.210042788975,709.9490860157593
"2021-04-28 19:57:51.124141,2021,4,28,19,57,51",88.80517188494792,15.757041131510647,230.3281450992256,,-57.7305924682141,11595.741973243072,709.9490860157593
"2021-04-28 20:19:44.900880,2021,4,28,20,19,44",64.84306895339587,-62.608154070595745,231.26117131101626,,-72.81298849197138,12910.701896101744,709.9490860157593
"2021-04-28 20:20:34.541272,2021,4,28,20,20,34",62.38643800684978,-65.454275795857,231.21765537231977,,-71.80318421094748,12846.181584143678,709.9490860157593
"2021-04-28 20:22:44.981837,2021,4,28,20,22,44",52.701499538312525,-72.68337602429509,231.07634286140768,,-68.86927350085821,12638.875360845963,709.9490860157593
"2021-04-28 20:36:36.290413,2021,4,28,20,36,36",-91.74573110349651,-54.04688008987823,229.18123898550616,,-46.372170858314334,10161.392739624182,709.9490860157593
"2021-04-28 20:56:57.334667,2021,4,28,20,56,57",-111.15062555234731,19.015838864434784,222.59492109576144,,-12.486119874465436,4760.333095756143,709.9490860157593
"2021-04-28 21:01:42.377812,2021,4,28,21,1,42",-115.52284764820016,36.08701291900164,221.20157108682838,,-7.667733353249184,4054.8037765381646,709.9490860157593
"2021-04-28 21:10:58.313137,2021,4,28,21,10,58",-133.50036719602008,68.68813974322016,222.63655495809851,,-12.635701864971018,4783.205456914436,709.9490860157593
"2021-04-28 21:27:39.626595,2021,4,28,21,27,39",73.33650170523386,48.29545906665863,228.1497254776308,,-38.69858910779021,9023.552757719113,709.9490860157593
"2021-04-28 21:41:19.656279,2021,4,28,21,41,19",60.493486390560584,-0.7839381415721769,230.37068355327517,,-58.24772062947441,11652.67048544323,709.9490860157593
"2021-04-28 21:55:05.620086,2021,4,28,21,55,5",47.20418466472335,-50.18134911810282,231.01791348394792,,-67.77550056824741,12554.139846961913,709.9490860157593
"2021-04-28 21:59:40.818081,2021,4,28,21,59,40",36.92618153909032,-66.20845187631208,230.9346765438337,,-66.31046005558714,12434.408050105321,709.9490860157593
"2021-04-28 22:19:02.086921,2021,4,28,22,19,2",-121.50867233307602,-41.43722887637953,229.00107994564553,,-44.903746664905576,9952.800187427241,709.9490860157593
"2021-04-28 22:24:39.114426,2021,4,28,22,24,39",-127.00652108517325,-21.282285851069695,227.959452401225,,-37.447687919089,8828.032189096539,709.9490860157593
"2021-04-28 23:12:05.008662,2021,4,28,23,12,5",42.40095658649343,28.474059771249006,228.34168045699127,,-40.00586499437799,9225.18981442735,709.9490860157593
"2021-04-28 23:17:19.920349,2021,4,28,23,17,19",38.00258646249434,9.588465793560466,229.13212775558173,,-45.96551603095333,10104.100930198681,709.9490860157593
"2021-04-29 00:09:49.257659,2021,4,29,0,9,49",-156.71421056195547,1.3579658427488244,228.29372512167998,,-39.674800494843026,9174.397312697636,709.9490860157593
"2021-04-29 00:10:48.429415,2021,4,29,0,10,48",-157.47429373224338,4.912004114445082,228.14327187618744,,-38.65544949633409,9016.850763237431,709.9490860157593
"2021-04-29 00:13:04.201874,2021,4,29,0,13,4",-159.24868215737214,13.065141430584827,227.78549796210388,,-36.340289526405265,8652.989686446937,709.9490860157593
"2021-04-29 00:19:55.981362,2021,4,29,0,19,55",-165.45071461477207,37.73438344081625,226.64067099201728,,-29.769026301211223,7584.4630097287345,709.9490860157593
"2021-04-29 00:27:02.147129,2021,4,29,0,27,2",-177.17631116786256,62.87981626096476,225.5787759841552,,-24.52844990452783,6711.662153363245,709.9490860157593
"2021-04-29 00:30:00.939859,2021,4,29,0,30,0",170.53578268879633,72.87130795934782,225.27187299306098,,-23.131289198362587,6478.656253440608,709.9490860157593
"2021-04-29 00:34:17.920415,2021,4,29,0,34,17",103.79274897598897,81.7781426872707,225.07034285150252,,-22.238367322889392,6330.068803809162,709.9490860157593
"2021-04-29 00:35:34.789153,2021,4,29,0,35,34",74.64329318416257,80.30733895146099,225.0729069415005,,-22.249611642236697,6331.937727167453,709.9490860157593
